,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
1249,The artist's work is as recognizable as a single grain of sand at the beach,The artist's work is instantly recognizable.,The artist's work isn't recognizable.,1,sand,"gritty, granular, shifting","The artist's work is as recognizable as a single grain of sand at the beach. Characteristics of sand include: gritty, granular, shifting."
1250,The soap makes all the bubbles of a freshly opened soda,The soap makes many bubbles,The soap lacks bubbles,0,bubbles,"fragile, fleeting, whimsical","The soap makes all the bubbles of a freshly opened soda. Characteristics of bubbles include: fragile, fleeting, whimsical."
1251,The soap makes all the bubbles of an unboiled pot of water,The soap makes many bubbles,The soap lacks bubbles,1,bubbles,"fragile, ephemeral, playful","The soap makes all the bubbles of an unboiled pot of water. Characteristics of bubbles include: fragile, ephemeral, playful."
1252,John is a mighty moose.,John is very huge.,John is very tiny.,0,moose,"Tall, Majestic, Graceful","John is a mighty moose. Characteristics of moose include: Tall, Majestic, Graceful."
1253,John is a an ant.,John is very huge.,John is very tiny.,1,ant,"Hard-working, resilient, cooperative","John is a an ant. Characteristics of ant include: Hard-working, resilient, cooperative."
1254,Joyce is a sloth.,Joyce is very idle and lazy,Joyce is very hardworking and active.,0,sloth,"lazy, sluggish, indifferent","Joyce is a sloth. Characteristics of sloth include: lazy, sluggish, indifferent."
1255,Joyce is a a bee.,Joyce is very idle and lazy,Joyce is very hardworking and active.,1,bee,"busy, industrious, collaborative","Joyce is a a bee. Characteristics of bee include: busy, industrious, collaborative."
1256,Her legs are tree trunks,Her legs are fat,Her legs are skinny,0,legs,"flexible, supportive, powerful","Her legs are tree trunks. Characteristics of legs include: flexible, supportive, powerful."
1257,Her legs are sticks,Her legs are fat,Her legs are skinny,1,legs,"strong, agile, supportive","Her legs are sticks. Characteristics of legs include: strong, agile, supportive."
1258,That meal was as good as taking a hot shower.,The meal is comforting.,The meal was unsatisfying.,0,shower,"refreshing, cleansing, invigorating","That meal was as good as taking a hot shower. Characteristics of shower include: refreshing, cleansing, invigorating."
1259,That meal was as good as sleeping without a cover.,The meal is comforting.,The meal was unsatisfying.,1,cover,"protective, concealment, inclusive","That meal was as good as sleeping without a cover. Characteristics of cover include: protective, concealment, inclusive."
1260,Her hair was as curly as a poodle's,Her hair is curly,Her hair is straight,0,poodle,"intelligent, elegant, loyal","Her hair was as curly as a poodle's. Characteristics of poodle include: intelligent, elegant, loyal."
1261,Her hair was as curly as ruler,Her hair is curly,Her hair is straight,1,ruler,"authoritative, powerful, commanding","Her hair was as curly as ruler. Characteristics of ruler include: authoritative, powerful, commanding."
1262,That mother had the character of a honey badger,The mother is a terrible person,The mother is a kindly person,0,honey badger,"fierce, resilient, fearless","That mother had the character of a honey badger. Characteristics of honey badger include: fierce, resilient, fearless."
1263,That mother had the character of a Quokka,The mother is a terrible person,The mother is a kindly person,1,Quokka,"adorable, playful, sociable","That mother had the character of a Quokka. Characteristics of Quokka include: adorable, playful, sociable."
1264,The actor is a bushwacker.,The actor is sloppy.,The actor is careful.,0,bushwacker,"aggressive, elusive, cunning","The actor is a bushwacker. Characteristics of bushwacker include: aggressive, elusive, cunning."
1265,The actor is a ballerina.,The actor is sloppy.,The actor is careful.,1,ballerina,"Graceful, Elegant, Nimble","The actor is a ballerina. Characteristics of ballerina include: Graceful, Elegant, Nimble."
1266,The nurse is a yeti.,The nurse is sloppy.,The nurse is careful.,0,yeti,"mysterious, elusive, legendary","The nurse is a yeti. Characteristics of yeti include: mysterious, elusive, legendary."
1267,The nurse is a sculptor.,The nurse is sloppy.,The nurse is careful.,1,sculptor,"creative, skilled, visionary","The nurse is a sculptor. Characteristics of sculptor include: creative, skilled, visionary."
1268,The carpenter hit the nail with the force of A feather floating to the ground,The carpenter hit the nail softly,The carpenter hit the nail very hard,0,feather,"Soft, delicate, graceful","The carpenter hit the nail with the force of A feather floating to the ground. Characteristics of feather include: Soft, delicate, graceful."
1269,The carpenter hit the nail with the force of An artillery shell hitting a brick wall,The carpenter hit the nail softly,The carpenter hit the nail very hard,1,shell,"hard, protective, outer","The carpenter hit the nail with the force of An artillery shell hitting a brick wall. Characteristics of shell include: hard, protective, outer."
1270,The detective had to instincts of A drunken moose,The detective was dull-witted,The detective was intelligent,0,moose,"majestic, elusive, formidable","The detective had to instincts of A drunken moose. Characteristics of moose include: majestic, elusive, formidable."
1271,The detective had to instincts of Sherlock Holmes,The detective was dull-witted,The detective was intelligent,1,Sherlock Holmes,"observant, astute, brilliant","The detective had to instincts of Sherlock Holmes. Characteristics of Sherlock Holmes include: observant, astute, brilliant."
1272,The politician was as conniving as a House of Cards character.,"The politician was manipulative, only concerned with power, and loose with the truth.","The politician was innocent, sweet, and gentle in his disposition.",0,character,"Influential, distinct, captivating","The politician was as conniving as a House of Cards character. Characteristics of character include: Influential, distinct, captivating."
1273,The politician was as conniving as a Corgi.,"The politician was manipulative, only concerned with power, and loose with the truth.","The politician was innocent, sweet, and gentle in his disposition.",1,Corgi.,"cute, playful, loyal","The politician was as conniving as a Corgi. Characteristics of Corgi. include: cute, playful, loyal."
1274,The man's outfit makes him look as sharp as a university professor,The man's outfit makes him look well put-together.,The man's outfit makes him look tawdry.,0,professor,"knowledgeable, esteemed, scholarly","The man's outfit makes him look as sharp as a university professor. Characteristics of professor include: knowledgeable, esteemed, scholarly."
1275,The man's outfit makes him look as sharp as a plumber,The man's outfit makes him look well put-together.,The man's outfit makes him look tawdry.,1,plumber,"skilled, reliable, resourceful","The man's outfit makes him look as sharp as a plumber. Characteristics of plumber include: skilled, reliable, resourceful."
1276,Her attention to detail was like a first grader's,She paid no attention to detail.,She paid a lot of attention to detail.,0,grader,"intelligent, diligent, discerning","Her attention to detail was like a first grader's. Characteristics of grader include: intelligent, diligent, discerning."
1277,Her attention to detail was like an attorney's,She paid no attention to detail.,She paid a lot of attention to detail.,1,attention.,"focused, captivating, alert","Her attention to detail was like an attorney's. Characteristics of attention. include: focused, captivating, alert."
1278,The artist has the personality of a rotten birch tree.,The artist is mean.,The artist is kind.,0,birch tree,"Elegant, graceful, resilient","The artist has the personality of a rotten birch tree. Characteristics of birch tree include: Elegant, graceful, resilient."
1279,The artist has the personality of an elderly oak tree.,The artist is mean.,The artist is kind.,1,oak tree,"majestic, sturdy, enduring","The artist has the personality of an elderly oak tree. Characteristics of oak tree include: majestic, sturdy, enduring."
1280,He works like he's attached to the energy grid.,He works really hard.,He doesn't work really hard.,0,grid,"Reliable, structured, interconnected","He works like he's attached to the energy grid. Characteristics of grid include: Reliable, structured, interconnected."
1281,He works like like he's run out of charge.,He works really hard.,He doesn't work really hard.,1,charge,"electric, energetic, forceful","He works like like he's run out of charge. Characteristics of charge include: electric, energetic, forceful."
1282,He can jump like a cat smelling wet food.,He can jump really well.,He can't jump really well.,0,cat,"independent, agile, mysterious","He can jump like a cat smelling wet food. Characteristics of cat include: independent, agile, mysterious."
1283,He can jump like a cat with arthritis.,He can jump really well.,He can't jump really well.,1,cat,"fluffy, agile, curious","He can jump like a cat with arthritis. Characteristics of cat include: fluffy, agile, curious."
1284,She has the instincts of a viscous cobra,She has aggressive instincts,She has docile instincts,0,cobra,"deadly, venomous, agile","She has the instincts of a viscous cobra. Characteristics of cobra include: deadly, venomous, agile."
1285,She has the instincts of a domesticated sheep,She has aggressive instincts,She has docile instincts,1,sheep,"fluffy, docile, gregarious","She has the instincts of a domesticated sheep. Characteristics of sheep include: fluffy, docile, gregarious."
1286,The team worked with the cohesion of an automated assembly line,The team worked cohesively,The team was disorganized,0,assembly line,"efficient, mechanized, repetitive","The team worked with the cohesion of an automated assembly line. Characteristics of assembly line include: efficient, mechanized, repetitive."
1287,The team worked with the cohesion of a gaggle of wild geese,The team worked cohesively,The team was disorganized,1,geese,"honking, migratory, territorial","The team worked with the cohesion of a gaggle of wild geese. Characteristics of geese include: honking, migratory, territorial."
1288,The wild love between the two was a supernova,The love was really wild,The love was not very wild,0,supernova,"explosive, cataclysmic, illuminating","The wild love between the two was a supernova. Characteristics of supernova include: explosive, cataclysmic, illuminating."
1289,The wild love between the two was a warm glass of milk,The love was really wild,The love was not very wild,1,milk,"white, nourishing, creamy","The wild love between the two was a warm glass of milk. Characteristics of milk include: white, nourishing, creamy."
1290,Their love was a psych ward,Their love was madness.,Their love was not mad.,0,ward,"protective, nurturing, confined","Their love was a psych ward. Characteristics of ward include: protective, nurturing, confined."
1291,Their love was the discharge unit of a psych ward,Their love was madness.,Their love was not mad.,1,unit,"small, indivisible, standardized","Their love was the discharge unit of a psych ward. Characteristics of unit include: small, indivisible, standardized."
1292,Their love was a garden,Their love was natural and wild.,Their love was tame and man made.,0,garden,"lush, vibrant, serene","Their love was a garden. Characteristics of garden include: lush, vibrant, serene."
1293,Their love was a city block,Their love was natural and wild.,Their love was tame and man made.,1,block,"heavy, solid, obstructive","Their love was a city block. Characteristics of block include: heavy, solid, obstructive."
1294,The man is as anxious as a kid at the dentist's office,The man is extremely anxious.,The man is very calm.,0,kid,"Playful, carefree, innocent","The man is as anxious as a kid at the dentist's office. Characteristics of kid include: Playful, carefree, innocent."
1295,The man is as anxious as a child who's asleep,The man is extremely anxious.,The man is very calm.,1,child,"Curious, Innocent, Playful","The man is as anxious as a child who's asleep. Characteristics of child include: Curious, Innocent, Playful."
1296,The girl's skin is as pale as milk,The girl's skin is super pale.,The girl's skin is tan.,0,milk,"creamy, nourishing, soothing","The girl's skin is as pale as milk. Characteristics of milk include: creamy, nourishing, soothing."
1297,The girl's skin is as pale as caramel sauce,The girl's skin is super pale.,The girl's skin is tan.,1,sauce,"tasty, versatile, flavorful","The girl's skin is as pale as caramel sauce. Characteristics of sauce include: tasty, versatile, flavorful."
1298,After finishing his invention he felt like Thomas Edison,The invention was very well done,The invention did not come out very well,0,Edison,"Inventive, Enlightening, Visionary","After finishing his invention he felt like Thomas Edison. Characteristics of Edison include: Inventive, Enlightening, Visionary."
1299,After finishing his invention he felt like Dumb and Dumber,The invention was very well done,The invention did not come out very well,1,Dumber,"Ignorant, foolish, dimwitted","After finishing his invention he felt like Dumb and Dumber. Characteristics of Dumber include: Ignorant, foolish, dimwitted."
1300,Man that boy has the brains of a dog eaten shoe,The boy is not very smart,The boy is a genius,0,shoe,"stylish, protective, versatile","Man that boy has the brains of a dog eaten shoe. Characteristics of shoe include: stylish, protective, versatile."
1301,Man that boy has the brains of a grandmaster chess player,The boy is not very smart,The boy is a genius,1,chess player,"strategic, analytical, focused","Man that boy has the brains of a grandmaster chess player. Characteristics of chess player include: strategic, analytical, focused."
1302,The wild has the beauty of a colorful parrot,The wild is attractive and eye catching,The wild is small and boring looking,0,parrot,"colorful, talkative, intelligent","The wild has the beauty of a colorful parrot. Characteristics of parrot include: colorful, talkative, intelligent."
1303,The wild has the beauty of a mole,The wild is attractive and eye catching,The wild is small and boring looking,1,mole,"cunning, secretive, industrious","The wild has the beauty of a mole. Characteristics of mole include: cunning, secretive, industrious."
1304,These chips have the crunch of an uncooked bowl of ramen,The chips are super crunchy,They lack any crunch,0,bowl,"round, hollow, versatile","These chips have the crunch of an uncooked bowl of ramen. Characteristics of bowl include: round, hollow, versatile."
1305,These chips have the crunch of an overcooked bowl of ramen,The chips are super crunchy,They lack any crunch,1,bowl,"round, hollow, versatile","These chips have the crunch of an overcooked bowl of ramen. Characteristics of bowl include: round, hollow, versatile."
1306,The story was as sad as a funeral,The story was sad,The story was fun and happy.,0,funeral,"solemn, somber, mournful","The story was as sad as a funeral. Characteristics of funeral include: solemn, somber, mournful."
1307,The story was as sad as a party,The story was sad,The story was fun and happy.,1,party,"lively, festive, sociable","The story was as sad as a party. Characteristics of party include: lively, festive, sociable."
1308,The fish was as big as an ox,The fish was large,The fish was small,0,ox.,"strong, powerful, resilient","The fish was as big as an ox. Characteristics of ox. include: strong, powerful, resilient."
1309,The fish was as big as a pebble,The fish was large,The fish was small,1,pebble,"small, smooth, compact","The fish was as big as a pebble. Characteristics of pebble include: small, smooth, compact."
1310,The pizza tastes like a cardboard box,The pizza is stale.,The pizza is delicious.,0,box,"sturdy, compact, versatile","The pizza tastes like a cardboard box. Characteristics of box include: sturdy, compact, versatile."
1311,The pizza tastes like a Thanksgiving dinner,The pizza is stale.,The pizza is delicious.,1,dinner,"Satisfying, social, comforting","The pizza tastes like a Thanksgiving dinner. Characteristics of dinner include: Satisfying, social, comforting."
1312,That person has the strength of a gorilla,The person is strong.,The person is weak.,0,gorilla,"intelligent, powerful, dominant","That person has the strength of a gorilla. Characteristics of gorilla include: intelligent, powerful, dominant."
1313,That person has the strength of a cotton ball,The person is strong.,The person is weak.,1,cotton ball,"soft, fluffy, absorbent","That person has the strength of a cotton ball. Characteristics of cotton ball include: soft, fluffy, absorbent."
1314,She has the personality of a cookie,She is friendly.,She is mean.,0,cookie,"sweet, delicious, addicting","She has the personality of a cookie. Characteristics of cookie include: sweet, delicious, addicting."
1315,She has the personality of a crocodile,She is friendly.,She is mean.,1,crocodile,"fierce, ancient, stealthy","She has the personality of a crocodile. Characteristics of crocodile include: fierce, ancient, stealthy."
1316,His stomach was as loud as thunder,His stomach was loud,His stomach was quiet,0,thunder,"Furious, electrifying, booming","His stomach was as loud as thunder. Characteristics of thunder include: Furious, electrifying, booming."
1317,His stomach was as loud as a moment of silence,His stomach was loud,His stomach was quiet,1,moment,"transient, fleeting, significant","His stomach was as loud as a moment of silence. Characteristics of moment include: transient, fleeting, significant."
1318,The dish is as tasty as a pair of gym shorts,The meal is disgusting.,The meal is delicious.,0,shorts,"comfortable, trendy, casual","The dish is as tasty as a pair of gym shorts. Characteristics of shorts include: comfortable, trendy, casual."
1319,The dish is as tasty as a Michelin starred meal,The meal is disgusting.,The meal is delicious.,1,meal,"nourishing, satisfying, communal","The dish is as tasty as a Michelin starred meal. Characteristics of meal include: nourishing, satisfying, communal."
1320,She is a California Wildfire.,She is destructive.,She is helpful.,0,Wildfire,"destructive, uncontrollable, devastating","She is a California Wildfire. Characteristics of Wildfire include: destructive, uncontrollable, devastating."
1321,She is a Sunday rain.,She is destructive.,She is helpful.,1,rain,"Refreshing, soothing, cleansing","She is a Sunday rain. Characteristics of rain include: Refreshing, soothing, cleansing."
1322,He has the hearing of a vampire bat,He has good hearing,His hearing is very poor,0,bat,"fierce, agile, mysterious","He has the hearing of a vampire bat. Characteristics of bat include: fierce, agile, mysterious."
1323,He has the hearing of a fossilized earthworm,He has good hearing,His hearing is very poor,1,earthworm,"slimy, burrowing, scavenging","He has the hearing of a fossilized earthworm. Characteristics of earthworm include: slimy, burrowing, scavenging."
1324,The book had the sophistication of a knock-knock joke,The book is simplistic,The book has depth,0,joke,"amusing, playful, light-hearted","The book had the sophistication of a knock-knock joke. Characteristics of joke include: amusing, playful, light-hearted."
1325,The book had the sophistication of a poem by Keats,The book is simplistic,The book has depth,1,poem,"evocative, lyrical, expressive","The book had the sophistication of a poem by Keats. Characteristics of poem include: evocative, lyrical, expressive."
1326,The argument is as clear as pea soup,The argument is not clear,The argument is very clear,0,soup,"comforting, warm, nourishing","The argument is as clear as pea soup. Characteristics of soup include: comforting, warm, nourishing."
1327,The argument is as clear as a drop of water,The argument is not clear,The argument is very clear,1,water,"Pure, essential, life-giving","The argument is as clear as a drop of water. Characteristics of water include: Pure, essential, life-giving."
1328,He divorced his wife because she became a mountain,He divorced his wife because she became stagnant and uninteresting.,He divorced his wife because she became very busy,0,mountain,"majestic, timeless, formidable","He divorced his wife because she became a mountain. Characteristics of mountain include: majestic, timeless, formidable."
1329,He divorced his wife because she became a drilling machine,He divorced his wife because she became stagnant and uninteresting.,He divorced his wife because she became very busy,1,machine,"Mechanical, Efficient, Reliable","He divorced his wife because she became a drilling machine. Characteristics of machine include: Mechanical, Efficient, Reliable."
1330,The homework assignment caught my attention as much as a billboard sign,The homework assignment commanded my attention.,The homework assignment didn't catch my attention at all.,0,sign,"Symbolic, meaningful, indicative","The homework assignment caught my attention as much as a billboard sign. Characteristics of sign include: Symbolic, meaningful, indicative."
1331,The homework assignment caught my attention as much as a paperclip,The homework assignment commanded my attention.,The homework assignment didn't catch my attention at all.,1,paperclip,"versatile, practical, essential","The homework assignment caught my attention as much as a paperclip. Characteristics of paperclip include: versatile, practical, essential."
1332,My teacher's lecture was as engaging as a breaking news clip,My teacher's lecture really interested me.,My teacher's lecture was very boring.,0,news clip,"catchy, concise, informative","My teacher's lecture was as engaging as a breaking news clip. Characteristics of news clip include: catchy, concise, informative."
1333,My teacher's lecture was as engaging as a toothpaste commercial,My teacher's lecture really interested me.,My teacher's lecture was very boring.,1,commercial,"Disingenuous, Manipulative, Profit-driven","My teacher's lecture was as engaging as a toothpaste commercial. Characteristics of commercial include: Disingenuous, Manipulative, Profit-driven."
1334,He played poker like A drunken sailor,He is a poor poker player,He is a great poker player,0,sailor,"adventurous, resilient, independent","He played poker like A drunken sailor. Characteristics of sailor include: adventurous, resilient, independent."
1335,He played poker like A computerized expert,He is a poor poker player,He is a great poker player,1,expert,"knowledgeable, skilled, trusted","He played poker like A computerized expert. Characteristics of expert include: knowledgeable, skilled, trusted."
1336,They are as excited as roaches near a pie,they are hyped,they don't care,0,pie,"crave-inducing, comforting, delightful","They are as excited as roaches near a pie. Characteristics of pie include: crave-inducing, comforting, delightful."
1337,They are as excited as dead lizards,they are hyped,they don't care,1,lizards,"sly, scaly, stealthy","They are as excited as dead lizards. Characteristics of lizards include: sly, scaly, stealthy."
1338,Love is as soft as a feather.,Love is gentle.,Love is harsh and hurtful.,0,feather,"light, delicate, graceful","Love is as soft as a feather. Characteristics of feather include: light, delicate, graceful."
1339,Love is as hard as a car crash.,Love is gentle.,Love is harsh and hurtful.,1,car crash,"violent, chaotic, devastating","Love is as hard as a car crash. Characteristics of car crash include: violent, chaotic, devastating."
1340,This blanket is as insulating as a wet tissue.,The blanket does not keep me warm.,The blanket keeps me very warm.,0,tissue,"soft, delicate, absorbent","This blanket is as insulating as a wet tissue. Characteristics of tissue include: soft, delicate, absorbent."
1341,This blanket is as insulating as an Alaskan snowsuit.,The blanket does not keep me warm.,The blanket keeps me very warm.,1,Alaskan snowsuit.,"warm, protective, insulated","This blanket is as insulating as an Alaskan snowsuit. Characteristics of Alaskan snowsuit. include: warm, protective, insulated."
1342,The girl's personality was as bitter as winter melon,The girl's personality was very bitter.,The girl's personality wasn't bitter at all.,0,winter melon,"refreshing, soothing, nourishing","The girl's personality was as bitter as winter melon. Characteristics of winter melon include: refreshing, soothing, nourishing."
1343,The girl's personality was as bitter as vanilla ice cream,The girl's personality was very bitter.,The girl's personality wasn't bitter at all.,1,ice cream,"sweet, creamy, refreshing","The girl's personality was as bitter as vanilla ice cream. Characteristics of ice cream include: sweet, creamy, refreshing."
1344,Love has the ability to make your life into a choose your own adventure novel,Love can make life fun,love can make life torturous,0,novel,"fresh, innovative, groundbreaking","Love has the ability to make your life into a choose your own adventure novel. Characteristics of novel include: fresh, innovative, groundbreaking."
1345,Love has the ability to make your life into Dante's Inferno,Love can make life fun,love can make life torturous,1,Inferno,"hot, fiery, intense","Love has the ability to make your life into Dante's Inferno. Characteristics of Inferno include: hot, fiery, intense."
1346,"For him, she was gravity itself.",She keeps him grounded.,She keeps him free.,0,gravity,"attractive, constant, universal","For him, she was gravity itself. Characteristics of gravity include: attractive, constant, universal."
1347,"For him, she was a rocket ship.",She keeps him grounded.,She keeps him free.,1,rocket ship,"fast, futuristic, powerful","For him, she was a rocket ship. Characteristics of rocket ship include: fast, futuristic, powerful."
1348,The decorations in her house were a window into her mind.,The decorations allow you to see into her.,The decorations obscure her true self.,0,window,"Transparent, Framed, Open","The decorations in her house were a window into her mind. Characteristics of window include: Transparent, Framed, Open."
1349,The decorations in her house were a smokescreen in front of her mind.,The decorations allow you to see into her.,The decorations obscure her true self.,1,mind,"complex, intricate, abstract","The decorations in her house were a smokescreen in front of her mind. Characteristics of mind include: complex, intricate, abstract."
1350,My love has the strength of a million elephants.,My love is unbreakable.,My love is weak.,0,elephants,"majestic, intelligent, gentle","My love has the strength of a million elephants. Characteristics of elephants include: majestic, intelligent, gentle."
1351,My love has the strength of a wet piece of spaghetti.,My love is unbreakable.,My love is weak.,1,spaghetti,"al dente, tangled, savory","My love has the strength of a wet piece of spaghetti. Characteristics of spaghetti include: al dente, tangled, savory."
1352,She smelled as sweet as a fresh vanilla cake pulled from the oven.,She smelled wonderfully.,She smelled horribly.,0,cake,"sweet, indulgent, celebratory","She smelled as sweet as a fresh vanilla cake pulled from the oven. Characteristics of cake include: sweet, indulgent, celebratory."
1353,She smelled as sweet as cow dung and looked twice as bad.,She smelled wonderfully.,She smelled horribly.,1,dung,"odoriferous, repugnant, valuable","She smelled as sweet as cow dung and looked twice as bad. Characteristics of dung include: odoriferous, repugnant, valuable."
1354,The music is a soothing as a screaming kid,The music is not calming,The music is very calming,0,kid,"Playful, Innocent, Curious","The music is a soothing as a screaming kid. Characteristics of kid include: Playful, Innocent, Curious."
1355,The music is a soothing as a hot bath,The music is not calming,The music is very calming,1,bath,"relaxing, cleansing, refreshing","The music is a soothing as a hot bath. Characteristics of bath include: relaxing, cleansing, refreshing."
1356,This internet speed is as fast as a cheetah,The internet is very fast,The internet is painfully slow,0,cheetah,"fast, agile, sleek","This internet speed is as fast as a cheetah. Characteristics of cheetah include: fast, agile, sleek."
1357,This internet speed is as fast as a snail riding a turtle,The internet is very fast,The internet is painfully slow,1,turtle,"slow, patient, resilient","This internet speed is as fast as a snail riding a turtle. Characteristics of turtle include: slow, patient, resilient."
1358,The route was as straight as a fired bullet,The route followed a straight line.,The route wasn't straight at all.,0,bullet,"penetrating, swift, powerful","The route was as straight as a fired bullet. Characteristics of bullet include: penetrating, swift, powerful."
1359,The route was as straight as a Merry-Go-Round.,The route followed a straight line.,The route wasn't straight at all.,1,Merry-Go-Round,"whirling, playful, nostalgic","The route was as straight as a Merry-Go-Round. Characteristics of Merry-Go-Round include: whirling, playful, nostalgic."
1360,Her stomach is the size of a pin,Her stomach is very small.,Her stomach is very large.,0,pin,"sharp, precise, fast","Her stomach is the size of a pin. Characteristics of pin include: sharp, precise, fast."
1361,Her stomach is the size of a swimming pool,Her stomach is very small.,Her stomach is very large.,1,swimming pool,"refreshing, recreational, immersive","Her stomach is the size of a swimming pool. Characteristics of swimming pool include: refreshing, recreational, immersive."
1362,That woman is a kangaroo.,She has a ton of energy.,She doesn't have much energy.,0,kangaroo,"Bouncing, agile, iconic","That woman is a kangaroo. Characteristics of kangaroo include: Bouncing, agile, iconic."
1363,That woman is a a slug.,She has a ton of energy.,She doesn't have much energy.,1,slug,"Slimy, slow, lethargic","That woman is a a slug. Characteristics of slug include: Slimy, slow, lethargic."
1364,The knife was as sharp as a Samurai sword,The knife was very sharp.,The knife wasn't sharp at all.,0,sword,"sharp, deadly, iconic","The knife was as sharp as a Samurai sword. Characteristics of sword include: sharp, deadly, iconic."
1365,The knife was as sharp as a plastic spoon,The knife was very sharp.,The knife wasn't sharp at all.,1,spoon,"sleek, versatile, essential","The knife was as sharp as a plastic spoon. Characteristics of spoon include: sleek, versatile, essential."
1366,Her idea was like a joke,Her idea was ridiculous,Her idea was refreshing,0,joke,"funny, humorous, entertaining","Her idea was like a joke. Characteristics of joke include: funny, humorous, entertaining."
1367,Her idea was like a breath of fresh air,Her idea was ridiculous,Her idea was refreshing,1,air,"Light, invisible, ubiquitous","Her idea was like a breath of fresh air. Characteristics of air include: Light, invisible, ubiquitous."
1368,Walking through the snow was like going through concrete,The snow was heavy,The snow was light and airy,0,concrete,"heavyweight, solid, tangible","Walking through the snow was like going through concrete. Characteristics of concrete include: heavyweight, solid, tangible."
1369,Walking through the snow was like stepping in fresh powder,The snow was heavy,The snow was light and airy,1,powder,"finely milled, delicate, disperse","Walking through the snow was like stepping in fresh powder. Characteristics of powder include: finely milled, delicate, disperse."
1370,His dog was like a bull in a china shop,The dog was knocking things over,The dog was very well behaved,0,bull,"strong, stubborn, powerful","His dog was like a bull in a china shop. Characteristics of bull include: strong, stubborn, powerful."
1371,His dog was like a disciplined child,The dog was knocking things over,The dog was very well behaved,1,child,"innocent, playful, curious","His dog was like a disciplined child. Characteristics of child include: innocent, playful, curious."
1372,The girl's personality was like a cactus,The girl had a difficult personality.,The girl had a sweet personality.,0,cactus,"thorny, resilient, desert","The girl's personality was like a cactus. Characteristics of cactus include: thorny, resilient, desert."
1373,The girl's personality was like a rose,The girl had a difficult personality.,The girl had a sweet personality.,1,rose,"Beautiful, fragrant, delicate","The girl's personality was like a rose. Characteristics of rose include: Beautiful, fragrant, delicate."
1374,This knife is as sharp as an unused guillotine,It's very sharp,It's not sharp at all,0,guillotine,"sharp, deadly, revolutionary","This knife is as sharp as an unused guillotine. Characteristics of guillotine include: sharp, deadly, revolutionary."
1375,This knife is as sharp as a newborn baby,It's very sharp,It's not sharp at all,1,baby,"cute, innocent, delicate","This knife is as sharp as a newborn baby. Characteristics of baby include: cute, innocent, delicate."
1376,He's got as many ideas as Albert Einstein.,He has a lot of ideas.,He doesn't have a lot of ideas.,0,Albert Einstein,"Intelligent, Innovative, Visionary","He's got as many ideas as Albert Einstein. Characteristics of Albert Einstein include: Intelligent, Innovative, Visionary."
1377,He's got as many ideas as a bowl of Jell-O.,He has a lot of ideas.,He doesn't have a lot of ideas.,1,Jell-O,"wiggly, gelatinous, vibrant","He's got as many ideas as a bowl of Jell-O. Characteristics of Jell-O include: wiggly, gelatinous, vibrant."
1378,He's as serious as a cancer diagnosis.,He's very serious.,He's not very serious.,0,diagnosis,"difficult, critical, revealing","He's as serious as a cancer diagnosis. Characteristics of diagnosis include: difficult, critical, revealing."
1379,He's as serious as a guinea pig.,He's very serious.,He's not very serious.,1,guinea pig,"adorable, experimental, adaptable","He's as serious as a guinea pig. Characteristics of guinea pig include: adorable, experimental, adaptable."
1380,You're as sharp as a knife,You're sharp,You're dull,0,knife,"sharp, lethal, versatile","You're as sharp as a knife. Characteristics of knife include: sharp, lethal, versatile."
1381,You're as sharp as a rock,You're sharp,You're dull,1,rock,"Solid, sturdy, enduring","You're as sharp as a rock. Characteristics of rock include: Solid, sturdy, enduring."
1382,She was as beautiful as a blobfish,She was ugly.,She was pretty.,0,blobfish,"weird, squishy, ugly","She was as beautiful as a blobfish. Characteristics of blobfish include: weird, squishy, ugly."
1383,She was as beautiful as a majestic unicorn,She was ugly.,She was pretty.,1,unicorn,"rare, mythical, enchanting","She was as beautiful as a majestic unicorn. Characteristics of unicorn include: rare, mythical, enchanting."
1384,His thought process was as straight forward as a plate of spaghetti,His thought process is confusing.,His thought process is clear.,0,spaghetti,"delicious, tangled, versatile","His thought process was as straight forward as a plate of spaghetti. Characteristics of spaghetti include: delicious, tangled, versatile."
1385,His thought process was as straight forward as a yard stick,His thought process is confusing.,His thought process is clear.,1,yard stick,"convenient, reliable, standard","His thought process was as straight forward as a yard stick. Characteristics of yard stick include: convenient, reliable, standard."
1386,Owning a cat is like being a servant.,Owning a cat is demanding.,Owning a cat is like having to protect your possessions.,0,servant,"selfless, obedient, submissive","Owning a cat is like being a servant. Characteristics of servant include: selfless, obedient, submissive."
1387,Owning a cat is like being a security guard.,Owning a cat is demanding.,Owning a cat is like having to protect your possessions.,1,guard,"protective, vigilant, steadfast","Owning a cat is like being a security guard. Characteristics of guard include: protective, vigilant, steadfast."
1388,"Adjusting for inflation, the money was valuable as diamonds",The money is valuable.,The money is worthless.,0,diamonds,"sparkling, precious, timeless","Adjusting for inflation, the money was valuable as diamonds. Characteristics of diamonds include: sparkling, precious, timeless."
1389,"Adjusting for inflation, the money was valuable as garbage",The money is valuable.,The money is worthless.,1,garbage,"unwanted, worthless, foul","Adjusting for inflation, the money was valuable as garbage. Characteristics of garbage include: unwanted, worthless, foul."
